TIC ID,TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,# PCs,Source,RA (degrees),Dec (degrees),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Epoch (BJD),Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Sectors,Comments,Date Created,Date Modified
124573851,669.01,2,4,2,2,4,4,4,PC,,10.137,0.018,1,spoc,158.9007,-5.181384,10.932,1.796,71.556,0.749,2458546.137,0.005545,3.948678,0.001811,3.420507,0.343622,0.818974,0.074052,754.018523,68.2022,3.842242,0.628328,641.234094,1283.435066,9.629088,139.44745,11.0337,5581.8999,76,4.1300001,0.12,1.15284,0.170302,9,,5/6/2019,5/7/2019
147660201,670.01,3,4,3,3,4,4,4,PC,,11.072,0.018,1,spoc,163.90911,-42.849282,-52.723,0.938,17.129,0.409,2458543.348,0.002717,0.579398,0.000108,1.64214,0.200189,1.438551,0.141322,1324.07712,130.15393,5.759676,9.940321,4535.918085,2093.081072,11.090368,171.40584,12.6143,5688,188,4.48774,0.314376,0.95053399,0.137621,9,Need Sg1 to check 147660207 (half a pixel away) of T mag =  12.666,5/6/2019,5/7/2019
151681127,671.01,5,5,5,5,5,5,5,PC,FP,9.1280003,0.021,1,spoc,166.88891,-40.206919,-22.349,0.731,9.519,0.532,2458552.918,0.000333,10.197751,0.000495,4.911431,0.025398,16.856521,0.131457,15405.53121,121.069046,24.004261,4.826364,883.033801,1390.317795,135.34671,270.85828,,7949,219,4.21106,0.45014599,1.79553,0.36092299,9,Likely large planet based on temperature; need SG1 to check 151681126 (T mag = 15.914),5/6/2019,5/9/2019
151825527,672.01,1,4,1,3,4,4,4,PC,,11.561,0.045,1,spoc,167.990847,-39.328105,76.92,2,-74.82,2,2458546.48,0.000698,3.633618,0.000191,1.788031,0.088834,9.853045,0.254572,9033.936252,234.44171,5.03317,0.789817,33.798593,614.956513,31.974104,91.637871,,3765,65,4.7516899,0.342271,0.52499998,0.077,9,no GAIA DR2 radius,5/6/2019,5/20/2019
151959065,673.01,5,5,5,5,5,5,5,PC,FP,11.933,0.019,1,spoc,168.99843,-36.459406,-17.857,1.073,0.151,1.073,2458551.637,0.001167,10.541282,0.001645,6.241204,0.110813,20.455355,0.340958,18663.71305,313.98477,17.800047,17.802114,211.045209,972.106001,43.950787,515.11102,,6114,194,4.28439,2.0049901,1.2818,1.2818,9,GAIA DR2 R = 1.7 Rsolar; transiting object might be slightly bigger,5/6/2019,5/9/2019
158588995,674.01,3,5,5,3,4,4,4,PC,,11.764,0.046,1,spoc,164.586587,-36.858109,-162.35,2,-1.87,2,2458544.524,0.00031,1.977238,0.000044,1.021981,0.047737,15.397688,0.239574,14081.70689,220.63156,4.430879,0.742535,35.671742,623.305314,53.596184,72.733948,,3467,64,4.8794599,0.378912,0.37099999,0.059999999,9,No GAIA DR2 Radius,5/6/2019,5/27/2019
169226822,675.01,5,5,5,5,5,5,5,PC,CP,9.6169996,0.02,1,spoc,160.558762,-3.835001,19.627,1.497,18.907,2.066,2458543.942,0.000386,4.178161,0.000113,4.304954,0.025328,12.826132,0.078482,11743.80108,72.28212,15.288753,0.09412,635.437683,1280.524792,160.82115,148.7325,14.8996,5500.6001,64,3.6500001,0.1,1.59884,0.28897199,9,WASP-127 b,5/6/2019,5/7/2019
219187649,676.01,3,5,5,3,4,4,4,PC,,13.336,0.02,1,spoc,171.205979,-18.61728,-14.809,2.138,10.232,2.138,2458544.343,0.001876,2.150451,0.000289,1.573366,0.122278,9.048811,0.62776,8299.629504,578.0216,10.472779,10.489842,759.992849,1339.128108,14.74846,545.85797,,5430,185,4.4138098,2.00406,1.00073,1.00073,9,,5/6/2019,5/9/2019
280206394,677.01,3,4,3,3,4,4,4,PC,,9.2390003,0.018,1,spoc,144.119364,-50.463099,-23.051,1.061,43.451,0.697,2458547.474,0.000368,11.236613,0.00052,2.574321,0.033671,9.505156,0.103237,8716.362549,95.080574,12.266536,1.511677,200.868484,960.169043,96.77406,130.20654,7.08077,6446,198,4.3788199,0.315236,1.22391,0.150417,9,,5/6/2019,5/7/2019
294395926,678.01,2,4,2,2,4,4,4,PC,,10.871,0.019,1,spoc,109.330741,-55.597939,-30.916,1.387,71.575,0.995,2458549.678,0.005393,11.316715,0.007656,4.351661,0.97804,1.129932,0.146962,1040.164187,135.34758,3.418944,2.506339,102.375772,811.276782,8.381478,200.81335,18.6716,5624,187,4.3912401,0.357916,1.05375,0.176713,9,Low priority lv 1; centroid offset on 294395913; T mag = 10.143 (an evolved star GAIA DR2 R = 10.77 Rsolar),5/6/2019,5/7/2019
308050066,679.01,5,5,5,5,5,5,5,PC,FP,9.9759998,0.019,1,spoc,155.436003,-17.224365,-4.593,1.489,5.987,0.521,2458552.073,0.000737,11.175586,0.001056,5.697074,0.066493,7.958286,0.126829,7303.054018,116.80702,18.199324,4.542675,674.343374,1299.690736,65.07193,334.41684,55.476601,6655,83,3.9000001,0.16,2.04177,0.50904799,9,,5/6/2019,5/9/2019
335499997,680.01,3,4,3,4,4,4,4,PC,,8.9530001,0.019,1,spoc,179.163609,-12.377518,-56.729,0.083,-8.698,0.059,2458543.515,0.00039,0.433716,0.000013,0.890312,0.098075,0.921764,0.028429,848.615718,26.184093,5.741712,1.372976,28648.75116,3318.151211,23.040173,158.61105,13.3682,5967,192,3.9495001,0.35182101,1.83682,0.30245,9,,5/6/2019,5/22/2019
